____________________xy___________,,
,,
____,x__(_),y__(_)
12:41,-1.2352,0.173
12:44,-1.2081,0.189
12:47,-1.1813,0.2048
12:50,-1.1546,0.2203
12:53,-1.1281,0.2356
12:56,-1.1018,0.2505
12:59,-1.0756,0.2653
13:02,-1.0496,0.2798
13:05,-1.0237,0.294
13:08,-0.998,0.308
13:11,-0.9724,0.3218
13:14,-0.947,0.3354
13:17,-0.9217,0.3488
13:20,-0.8965,0.3619
13:23,-0.8714,0.3748
13:26,-0.8464,0.3876
13:29,-0.8215,0.4001
13:32,-0.7967,0.4124
13:35,-0.7719,0.4246
13:38,-0.7473,0.4366
13:41,-0.7227,0.4484